LEMMA,POS,FREQUENCY
sadly,r,50
senior,n,50
sparkle,v,50
thirty-two,m,50
tow,v,50
vulnerable,j,50
waters,n,50
welcome,n,50
wolf,n,50
wreck,n,50
yum,u,50
loaf,v,50
perfume,v,50
bare,j,50
resume,n,50
scar,n,50
bang,u,50
address,v,49
agenda,n,49
assign,v,49
autograph,n,49
await,v,49
billionaire,n,49
bookstore,n,49
buyer,n,49
charade,n,49
collapse,v,49
conditioning,n,49
consequence,n,49
crooked,j,49
cultural,j,49
dating,n,49
December,K,49
deli,n,49
examine,v,49
fry,v,49
grown,j,49
hormone,n,49
hush,u,49
insecure,j,49
intention,n,49
international,j,49
karaoke,n,49
line,v,49
maple,n,49
one thousand one hundred,m,49
pose,v,49
psychiatrist,n,49
repair,n,49
shotgun,n,49
steady,j,49
strategy,n,49
tempt,v,49
vet,n,49
witness,v,49
yikes,u,49
hood,n,49
dawn,n,49
motor,n,49
tent,n,49
tumor,n,48
bathtub,n,48
bitch,v,48
broad,j,48
brutal,j,48
buzz,v,48
campaign,n,48
conduct,v,48
copier,n,48
cranky,j,48
eternal,j,48
foam,n,48
FYI,abbr,48
google,v,48
greedy,j,48
hiya,u,48
kisser,n,48
lava,n,48
like,n,48
loosen,v,48
Lord,u,48
mailbox,n,48
naive,j,48
November,K,48
particle,n,48
perspective,n,48
plug,n,48
privilege,n,48
resolve,v,48
scarf,n,48
start,n,48
trainer,n,48
unable,j,48
unacceptable,j,48
unfortunate,j,48
update,n,48
volcano,n,48
weed,n,48
worthy,j,48
vault,n,48
permanent,j,48
gag,n,48
addicted,j,47
bah,u,47
balance,v,47
bitter,j,47
boo,v,47
braces,n,47
cashmere,n,47
chimp,n,47
comfort,n,47
communist,n,47
consultant,n,47
criticize,v,47
cutie,n,47
decaf,n,47
demonstrate,v,47
denial,n,47
distraction,n,47
dunk,v,47
edition,n,47
embarrassment,n,47
extension,n,47
Frisbee,K,47
grind,v,47
hairy,j,47
handy,j,47
humble,j,47
juggle,v,47
kit,n,47
lift,n,47
loyalty,n,47
lyric,n,47
maestro,n,47
margarita,n,47
molest,v,47
occasionally,r,47
overwhelm,v,47
pee,n,47
pharmacy,n,47
preserve,v,47
properly,r,47
restroom,n,47
secure,j,47
settlement,n,47
sundae,n,47
Thai,K,47
toad,n,47
trailer,n,47
transform,v,47
trust,n,47
uterus,n,47
violation,n,47
weekly,j,47
blog,n,47
flying,j,47
advise,v,46
altar,n,46
assembly,n,46
bath,v,46
beaver,n,46
blazer,n,46
compromise,v,46
conspiracy,n,46
critical,j,46
devastated,j,46
disappointment,n,46
drawing,n,46
dumpster,n,46
feather,n,46
feature,v,46
furious,j,46
goddess,n,46
housekeeper,n,46
immature,j,46
jackpot,n,46
janitor,n,46
jungle,n,46
Korean,K,46
lasagna,n,46
liberty,n,46
opponent,n,46
penguin,n,46
photographer,n,46
process,v,46
psychic,j,46
puffy,j,46
quote,n,46
racket,n,46
region,n,46
robe,n,46
sea,j,46
sew,v,46
shatter,v,46
sickness,n,46
sidekick,n,46
skank,n,46
spice,n,46
starter,n,46
stir,v,46
structure,n,46
sub,n,46
tampon,n,46
touchdown,n,46
pimp,n,46
brief,j,46
anxiety,n,45
approach,n,45
bay,n,45
beat,n,45
buzz,n,45
chemistry,n,45
desperately,r,45
diabetes,n,45
diarrhea,n,45
dictionary,n,45
doorman,n,45
exploit,v,45
fatty,n,45
fluid,n,45
forty-two,m,45
funky,j,45
gender,n,45
glitter,n,45
harass,v,45
hen,n,45
improv,n,45
interfere,v,45
irony,n,45
married,j,45
novelty,n,45
phew,u,45
phony,j,45
previous,j,45
rehab,n,45
reindeer,n,45
reminder,n,45
rescue,n,45
resent,v,45
rodeo,n,45
round,v,45
severe,j,45
slippery,j,45
smoker,n,45
spooky,j,45
ta-da,u,45
tap,n,45
terror,n,45
thirty-eight,m,45
transplant,n,45
villain,n,45
well,n,45
whatsoever,fw,45
stunt,v,45
dock,n,45
vomit,n,44
a.k.a.,abbr,44
accurate,j,44
alter,v,44
ash,n,44
authentic,j,44
basis,n,44
booger,n,44
broken,j,44
chemical,n,44
clap,v,44
closely,r,44
commissioner,n,44
communication,n,44
drive,n,44
Dutch,K,44
engineer,n,44
fax,n,44
federal,j,44
fetch,v,44
forty-eight,m,44
fried,j,44
glory,n,44
godfather,n,44
harmless,j,44
hurry,n,44
importantly,r,44
lounge,n,44
major,n,44
milkshake,n,44
mutant,n,44
near,j,44
negotiate,v,44
notebook,n,44
outlet,n,44
paycheck,n,44
prop,n,44
quantum,n,44
range,n,44
sane,j,44
saxophone,n,44
smiley,n,44
solar,j,44
spaceship,n,44
stem,n,44
sting,v,44
storage,n,44
suite,n,44
trade,n,44
unlock,v,44
urban,j,44
wacky,j,44
warrior,n,44
Congress,K,44
adore,v,43
aggressive,j,43
balcony,n,43
beam,n,43
cappuccino,n,43
charm,n,43
cock,n,43
consume,v,43
crank,v,43
duck,v,43
European,K,43
fatso,n,43
fiction,n,43
headquarters,n,43
holder,n,43
income,n,43
ink,n,43
instrument,n,43
jinx,v,43
kindly,r,43
liquid,n,43
lump,n,43
magnet,n,43
mail,v,43
marketing,n,43
originally,r,43
pfft,u,43
piggy,n,43
pineapple,n,43
poo,n,43
porch,n,43
predict,v,43
priceless,j,43
priority,n,43
public,n,43
ramp,n,43
receipt,n,43
rusty,j,43
sandal,n,43
seize,v,43
servant,n,43
shrink,v,43
sidewalk,n,43
significant,j,43
slaughter,v,43
spine,n,43
stubborn,j,43
stumble,v,43
trouble,v,43
upset,v,43
urge,n,43
urgent,j,43
veal,n,43
wink,v,43
notch,n,43
scum,n,43
sewer,n,43
bargain,n,43
driving,n,43
remark,n,43
abort,v,42
active,j,42
aid,n,42
aspirin,n,42
bakery,n,42
biggie,n,42
bold,j,42
bomb,v,42
brat,n,42
cemetery,n,42
cleanse,v,42
colleague,n,42
colon,n,42
confusion,n,42
congratulate,v,42
contact,v,42
context,n,42
creeps,n,42
demand,n,42
dull,j,42
ego,n,42
fog,n,42
fuzzy,j,42
individual,n,42
insensitive,j,42
investigation,n,42
investor,n,42
irresponsible,j,42
knit,v,42
meter,n,42
nominate,v,42
oatmeal,n,42
omelet,n,42
overcome,v,42
plaque,n,42
pursue,v,42
reflect,v,42
relation,n,42
rep,n,42
retard,n,42
seat,v,42
shack,n,42
sincere,j,42
slice,v,42
snap,u,42
spell,n,42
theft,n,42
tricky,j,42
tummy,n,42
twenty-six,m,42
undo,v,42
unnecessary,j,42
unpleasant,j,42
vase,n,42
waist,n,42
IQ,abbr,42
swan,n,42
premiere,n,42
thunder,n,42
bizarre,j,41
cliff,n,41
comb,v,41
curl,v,41
disable,v,41
district,n,41
emerge,v,41
emperor,n,41
endless,j,41
fantasize,v,41
folk,n,41
fortunately,r,41
forward,v,41
gap,n,41
goggles,n,41
handshake,n,41
illusion,n,41
infection,n,41
influence,n,41
liberal,j,41
monitor,n,41
mutual,j,41
nun,n,41
object,v,41
p.m.,abbr,41
patience,n,41
pickup,n,41
portrait,n,41
possess,v,41
rabies,n,41
redneck,n,41
regard,n,41
relevant,j,41
restrain,v,41
satisfaction,n,41
secondly,r,41
single,n,41
sip,n,41
sponsor,v,41
sprinkles,n,41
steel,n,41
subtitle,n,41
tackle,v,41
tacky,j,41
territory,n,41
tourist,n,41
tremendous,j,41
trim,v,41
tux,n,41
valentine,n,41
vegan,n,41
womb,n,41
institute,n,41
paw,n,41
absence,n,40
acceptable,j,40
apart,j,40
assemble,v,40
assistance,n,40
back,v,40
bluff,v,40
bribe,v,40
bum,v,40
conceive,v,40
diner,n,40
donor,n,40
drill,v,40
expel,v,40
finals,n,40
flow,v,40
garlic,n,40
golf,v,40
groin,n,40
handful,n,40
hike,v,40
importance,n,40
intimacy,n,40
inventor,n,40
mentor,n,40
mummy,n,40
ninth,n,40
occupy,v,40
pamphlet,n,40
pause,v,40
pretentious,j,40
ranch,n,40
reverse,j,40
rooster,n,40
scramble,v,40
scrape,v,40
sensation,n,40
shuttle,n,40
stall,v,40
storm,v,40
summon,v,40
tad,n,40
tan,v,40
tango,n,40
teeny,j,40
tenth,m,40
thirty-six,m,40
thrill,n,40
trash,v,40
twenty-nine,m,40
unexpected,j,40
unicorn,n,40
unknown,j,40
unpack,v,40
useful,j,40
variety,n,40
vicious,j,40
voter,n,40
warning,n,40
writing,n,40
photograph,n,40
jerky,n,40
manure,n,40
razor,n,40
animate,v,39
ATM,abbr,39
atmosphere,n,39
boundary,n,39
cardboard,n,39
cherish,v,39
civilization,n,39
commander,n,39
conquer,v,39
convenience,n,39
cook,n,39
cram,v,39
deadline,n,39
detector,n,39
dresser,n,39
elegant,j,39
empire,n,39
extraordinary,j,39
grandson,n,39
helpless,j,39
hike,n,39
historical,j,39
homeless,n,39
hottie,n,39
identical,j,39
initiate,v,39
investigate,v,39
itch,v,39
Jell-O,K,39
juvenile,j,39
lack,v,39
Latin,K,39
luggage,n,39
mannequin,n,39
motivate,v,39
niece,n,39
passport,n,39
pharmacist,n,39
pitcher,n,39
planetarium,n,39
poisoning,n,39
policeman,n,39
precisely,r,39
profile,n,39
reconsider,v,39
ritual,n,39
robbery,n,39
self-esteem,n,39
semen,n,39
six-pack,n,39
sleigh,n,39
spontaneous,j,39
stat,n,39
stunning,j,39
supper,n,39
tab,n,39
thirty-four,m,39
thirty-seven,m,39
toast,v,39
tolerate,v,39
translate,v,39
tuxedo,n,39
wand,n,39
wipe,n,39
dimension,n,39
serial,j,39
toll,n,39
affection,n,38
African-American,K,38
anchor,v,38
anthropology,n,38
atom,n,38
author,v,38
blend,v,38
blink,v,38
blonde,n,38
brakes,n,38
breed,v,38
brochure,n,38
clay,n,38
coin,v,38
coitus,n,38
correction,n,38
curly,j,38
custody,n,38
direct,j,38
diversity,n,38
dodge,v,38
drain,v,38
dye,v,38
dynamite,n,38
equation,n,38
errand,n,38
exclusive,j,38
halftime,n,38
hearing,n,38
hoop,n,38
hunk,n,38
invade,v,38
invasion,n,38
jealousy,n,38
jingle,v,38
judgmental,j,38
kingdom,n,38
label,v,38
lollipop,n,38
lying,n,38
manipulate,v,38
max,n,38
mechanic,n,38
mode,n,38
narrow,v,38
oath,n,38
odor,n,38
outstanding,j,38
owl,n,38
pope,n,38
pursuit,n,38
rely,v,38
reputation,n,38
restore,v,38
rhyme,v,38
rum,n,38
scoop,n,38
screw,n,38
scrotum,n,38
spoiler,n,38
superstar,n,38
surface,n,38
teens,n,38
tweet,v,38
two thousand,m,38
undercover,j,38
veteran,n,38
viewer,n,38
wax,v,38
whine,v,38
windshield,n,38
bait,n,38
epic,j,38
working,j,38
shovel,n,38
execute,v,37
experiment,v,37
fireplace,n,37
flee,v,37
flood,n,37
half-hour,n,37
heritage,n,37
housewife,n,37
instructor,n,37
leftover,n,37
lieutenant,n,37
lovable,j,37
mayonnaise,n,37
microphone,n,37
nudity,n,37
obligation,n,37
obsession,n,37
patrol,n,37
salty,j,37
schnapps,n,37
setup,n,37
shortly,r,37
sour,j,37
spectacular,j,37
steroid,n,37
stomp,v,37
survival,n,37
sweatshirt,n,37
swell,j,37
theirs,fw,37
traitor,n,37
uptight,j,37
wait,n,37
arrival,n,37
autograph,v,37
babysit,v,37
backstage,r,37
bond,n,37
boogie,n,37
busboy,n,37
buttocks,n,37
camel,n,37
cattle,n,37
chalk,n,37
cheater,n,37
clone,n,37
cobra,n,37
contribution,n,37
cough,v,37
devote,v,37
dip,v,37
doodle,v,37
ease,v,37
erection,n,37
harm,v,37
ideal,j,37
lease,n,37
legendary,j,36
absurd,j,36
additional,j,36
advertise,v,36
appetizer,n,36
attraction,n,36
blow,n,36
brick,n,36
canned,j,36
caterer,n,36
center,j,36
chilly,j,36
classmate,n,36
conclude,v,36
consult,v,36
correctly,r,36
cozy,j,36
curiosity,n,36
dorm,n,36
educate,v,36
educational,j,36
enthusiasm,n,36
filth,n,36
fitness,n,36
forgiveness,n,36
foul,n,36
genitals,n,36
goddamned,j,36
guess,n,36
gutter,n,36
heroin,n,36
horribly,r,36
household,n,36
HR,abbr,36
infinite,j,36
inject,v,36
leaf,n,36
leap,v,36
leap,n,36
link,n,36
loving,j,36
manly,j,36
many,j,36
masterpiece,n,36
obnoxious,j,36
Olympic,K,36
opener,n,36
orientation,n,36
origin,n,36
orphan,n,36
penalty,n,36
residence,n,36
reverse,v,36
shallow,j,36
shipment,n,36
siren,n,36
soothe,v,36
spank,v,36
strict,j,36
strongly,r,36
superpower,n,36
violin,n,36
volunteer,j,36
wake-up,n,36
mass,j,36
scent,n,36
grip,n,36
recorder,n,35
acceptance,n,35
acquaintance,n,35
acquire,v,35
alrighty,u,35
alternative,n,35
anxious,j,35
applaud,v,35
baloney,n,35
capacity,n,35
childish,j,35
circle,v,35
cola,n,35
comment,v,35
detect,v,35
equal,v,35
exotic,j,35
giggle,v,35
gnome,n,35
guidance,n,35
historic,j,35
kiddo,n,35
kosher,j,35
limbo,n,35
marvelous,j,35
minimum,n,35
missy,n,35
mix,n,35
nauseous,j,35
nurse,v,35
observation,n,35
obstacle,n,35
overlook,v,35
philosophy,n,35
racist,n,35
recruit,v,35
sexuality,n,35
shenanigan,n,35
silk,n,35
swipe,v,35
topless,j,35
trauma,n,35
tunnel,n,35
unemployed,j,35
unlikely,j,35
update,v,35
verdict,n,35
virginity,n,35
vitamin,n,35
whistle,v,35
x-ray,n,35
oral,j,35
affairs,n,34
anthem,n,34
ashtray,n,34
assist,v,34
banker,n,34
benefit,v,34
cafe,n,34
caffeine,n,34
chase,n,34
con,n,34
container,n,34
convenient,j,34
cord,n,34
courthouse,n,34
criticism,n,34
curb,n,34
dawg,n,34
delight,v,34
distant,j,34
dizzy,j,34
dressing,n,34
erotic,j,34
eyeball,n,34
facial,j,34
flap,v,34
freshen,v,34
galaxy,n,34
guardian,n,34
highlight,n,34
hoard,v,34
hygiene,n,34
institution,n,34
keeper,n,34
lettuce,n,34
maiden,n,34
membership,n,34
mild,j,34
misery,n,34
mistaken,j,34
mixer,n,34
parlor,n,34
pity,v,34
platter,n,34
pointy,j,34
poorly,r,34
population,n,34
psychology,n,34
risky,j,34
robber,n,34
runner,n,34
runway,n,34
scholarship,n,34
slim,j,34
swimsuit,n,34
temporary,j,34
tequila,n,34
thankful,j,34
triple,j,34
urinate,v,34
valid,j,34
wing,v,34
winning,j,34
convict,n,34
crown,n,34
floss,v,33
stew,n,33
administration,n,33
auction,n,33
billboard,n,33
bouquet,n,33
bourbon,n,33
brainwash,v,33
breakdown,n,33
caramel,n,33
casting,n,33
cease,v,33
cheesy,j,33
chip,v,33
choir,n,33
cocky,j,33
contraction,n,33
creator,n,33
drain,n,33
drip,v,33
espresso,n,33
essence,n,33
exclamation,n,33
experimental,j,33
faculty,n,33
female,n,33
finale,n,33
flaw,n,33
gallon,n,33
gardener,n,33
greasy,j,33
guide,v,33
hammock,n,33
HIV,abbr,33
hostess,n,33
initiative,n,33
live,j,33
liver,n,33
loan,n,33
mermaid,n,33
military,j,33
mingle,v,33
moose,n,33
mosquito,n,33
mural,n,33
no-one,fw,33
non,fw,33
opening,j,33
orchestra,n,33
orphanage,n,33
pimple,n,33
portal,n,33
prick,n,33
psychological,j,33
rebuild,v,33
reckon,v,33
recovery,n,33
rip-off,n,33
scare,n,33
simulate,v,33
simulation,n,33
squad,n,33
technical,j,33
tolerance,n,33
tribute,n,33
vice,j,33
vile,j,33
wilderness,n,33
worm,n,33
trigger,n,33
calf,n,33
scoop,v,32
accomplishment,n,32
admission,n,32
age,v,32
beside,fw,32
blame,n,32
cabbage,n,32
cocaine,n,32
colorful,j,32
controversial,j,32
courtroom,n,32
crispy,j,32
delay,v,32
domestic,j,32
eastern,j,32
elsewhere,r,32
ex-husband,n,32
exaggerate,v,32
exercise,v,32
father-in-law,n,32
feces,n,32
formula,n,32
freeway,n,32
grade,v,32
grownup,n,32
hallelujah,u,32
hostile,j,32
hurtful,j,32
industrial,j,32
intern,n,32
ironically,r,32
irrelevant,j,32
isolate,v,32
knot,n,32
landlord,n,32
leadership,n,32
majesty,n,32
merge,v,32
monologue,n,32
nine thirty,m,32
orgy,n,32
overdue,j,32
postpone,v,32
rag,n,32
registration,n,32
rhythm,n,32
screwdriver,n,32
scuba,n,32
selection,n,32
shell,n,32
sincerely,r,32
sitter,n,32
startle,v,32
stripe,n,32
stroller,n,32
stud,n,32
subscription,n,32
sunrise,n,32
toupee,n,32
unconscious,j,32
underestimate,v,32
unique,j,32
various,j,32
vein,n,32
weep,v,32
whiskey,n,32
witty,j,32
worry,n,32
memorial,n,32
permit,n,32
